,Company,Cities,Year of starting,FOUNDERS,Industries,Funding amount,Funding rounds,No of employees,No of investors
207,) Loadshare, Bengaluru, 2017,"Devendra Rane, Varun Dua",Delivery,"160,465,015",Number of funding rounds: 7,1001-5000,Number of investors: 2
208,) Gradeup, Noida, 2015,Akshay Mehrotra,Education,"51,944,731",Number of funding rounds: 5,251-500,Number of investors: 7
209,) FreeCharge, Mumbai, 2010,"Mihir Mohan Mishra, Nirant Ramakuru, Ruchi Deepak",Coupons,"29,833,055",Number of funding rounds: 7,1-10,Number of investors: 8
210,) Healthkart, Gurgaon, 2011,"Anshul Mimani, Manish Somani",Dietary,"1,284,058",Number of funding rounds: 4,251-500,Number of investors: 24
211,) Saveo, Bengaluru, 2019,Ankur Jain,Fitness,"139,178,803",Number of funding rounds: 2,51-100,Number of investors: 17
212,) True Balance, Gurgaon, 2014,"Kunal Malik, Maneesh Dhooper",Apps,"21,500,000",Number of funding rounds: 7,11-50,Number of investors: 13
213,) Coverfox Insurance, Mumbai, 2013,"Ankush Mehra, Manish Saksena, Prashant Malik, Suchi Mukherjee",Auto,"13,275,120",Number of funding rounds: 6,11-50,Number of investors: 6
214,) EarlySalary, Pune, 2015,"Prashant Gupta, Rahul Ranjan, Ranjeet Pratap Singh, Sahradayi Modi, Sankaranarayanan Devarajan",Financial,"14,800,000",Number of funding rounds: 7,11-50,Number of investors: 12
215,) Pitstop, Bengaluru, 2015,Swapnil Shah,Automotive,"173,773,498",Number of funding rounds: 5,101-250,Number of investors: 1
216,) Wheels Eye, Gurgaon, 2017,"Akshay Pruthi, Anurag Dalia, Himanshu Periwal, Vipul Agrawal",Information,"14,500,000",Number of funding rounds: 1,251-500,Number of investors: 13
217,) Bira 91, Delhi, 2015,Bhaskar Rao,Brewing,"10,500,000",Number of funding rounds: 14,251-500,Number of investors: 4
218,) PlanetSpark, Gurgaon, 2016,"Abhimanyu Saxena, Anshuman Singh",E-Learning,"19,900,000",Number of funding rounds: 2,51-100,Number of investors: 6
219,) LimeRoad, Gurgaon, 2012,"Akash Deep, Mohit Sharma",E-Commerce,"28,000,000",Number of funding rounds: 5,1001-5000,Number of investors: 12
220,) Pratilipi, Bengaluru, 2015,"Khushnud Khan, Rishi Raj Rathore",Audio,"23,300,000",Number of funding rounds: 5,1001-5000,Number of investors: 3
221,) Freight Tiger, Mumbai, 2014,Kartar Singh,Automotive,"10,180,783",Number of funding rounds: 1,101-250,Number of investors: 4
222,) unlu, Gurgaon, 2020,Times ,Celebrity,"85,000,000",Number of funding rounds: 2,501-1000,Number of investors: 3
